year,field,men,unknown,women,total,pct_female
1976,civil engineering,2902,41,105,3007,3.4918523445294314
1976,pharmaceuticals,697,21,40,737,5.4274084124830395
1977,civil engineering,2763,42,112,2875,3.8956521739130436
1977,pharmaceuticals,826,20,49,875,5.6
1978,civil engineering,2887,43,140,3027,4.625041295011562
1978,pharmaceuticals,798,17,65,863,7.531865585168019
1979,civil engineering,1921,29,88,2009,4.380288700846192
1979,pharmaceuticals,663,16,49,712,6.882022471910112
1980,civil engineering,2490,39,111,2601,4.267589388696655
1980,pharmaceuticals,782,17,79,861,9.175377468060395
1981,civil engineering,2727,31,123,2850,4.315789473684211
1981,pharmaceuticals,835,14,75,910,8.241758241758241
1982,civil engineering,2235,30,105,2340,4.487179487179487
1982,pharmaceuticals,846,23,66,912,7.2368421052631575
1983,civil engineering,2332,49,86,2418,3.5566583953680726
1983,pharmaceuticals,750,12,59,809,7.292954264524104
1984,civil engineering,2902,49,139,3041,4.570864847089773
1984,pharmaceuticals,970,10,114,1084,10.51660516605166
1985,civil engineering,2744,36,145,2889,5.019037729318103
1985,pharmaceuticals,1041,31,124,1165,10.643776824034335
1986,civil engineering,2912,46,120,3032,3.9577836411609497
1986,pharmaceuticals,1086,30,122,1208,10.099337748344372
1987,civil engineering,3363,55,152,3515,4.324324324324325
1987,pharmaceuticals,1451,47,198,1649,12.007277137659187
1988,civil engineering,2816,41,131,2947,4.445198506956227
1988,pharmaceuticals,1432,48,223,1655,13.474320241691842
1989,civil engineering,3600,51,195,3795,5.138339920948616
1989,pharmaceuticals,2007,59,287,2294,12.510897994768962
1990,civil engineering,3424,54,167,3591,4.650515176830966
1990,pharmaceuticals,2109,70,319,2428,13.13838550247117
1991,civil engineering,3604,52,183,3787,4.832321098494851
1991,pharmaceuticals,2355,82,350,2705,12.939001848428836
1992,civil engineering,3595,38,220,3815,5.766710353866317
1992,pharmaceuticals,2521,87,446,2967,15.032018874283787
1993,civil engineering,3568,58,204,3772,5.408271474019088
1993,pharmaceuticals,2808,104,501,3309,15.14052583862194
1994,civil engineering,3565,60,186,3751,4.958677685950414
1994,pharmaceuticals,2831,107,485,3316,14.62605548854041
1995,civil engineering,3483,51,183,3666,4.991816693944354
1995,pharmaceuticals,3494,119,629,4123,15.255881639582828
1996,civil engineering,3948,60,216,4164,5.187319884726225
1996,pharmaceuticals,4244,164,848,5092,16.653574234092694
1997,civil engineering,3780,57,212,3992,5.31062124248497
1997,pharmaceuticals,5831,225,1208,7039,17.161528626225316
1998,civil engineering,4742,66,257,4999,5.1410282056411285
1998,pharmaceuticals,6926,272,1550,8476,18.28692779613025
1999,civil engineering,4885,69,289,5174,5.585620409741013
1999,pharmaceuticals,7048,298,1589,8637,18.397591756396896
2000,civil engineering,5136,70,295,5431,5.431780519241392
2000,pharmaceuticals,7170,308,1621,8791,18.439312933682174
2001,civil engineering,5013,95,274,5287,5.18252317003972
2001,pharmaceuticals,7767,382,1807,9574,18.87403384165448
2002,civil engineering,4913,76,309,5222,5.917273075450019
2002,pharmaceuticals,8180,425,1940,10120,19.1699604743083
2003,civil engineering,5038,83,273,5311,5.14027490114856
2003,pharmaceuticals,8058,424,1939,9997,19.395818745623686
2004,civil engineering,4698,87,301,4999,6.02120424084817
2004,pharmaceuticals,6683,378,1607,8290,19.384800965018094
2005,civil engineering,4322,79,260,4582,5.674378000872982
2005,pharmaceuticals,6481,420,1624,8105,20.037014188772364
2006,civil engineering,4737,77,286,5023,5.693808480987458
2006,pharmaceuticals,7694,500,1978,9672,20.45078577336642
2007,civil engineering,4158,76,262,4420,5.927601809954751
2007,pharmaceuticals,7100,534,1913,9013,21.224897370464884
2008,civil engineering,4111,65,233,4344,5.363720073664825
2008,pharmaceuticals,7274,545,1905,9179,20.753894759777754
2009,civil engineering,4280,76,268,4548,5.892700087950748
2009,pharmaceuticals,7707,637,2166,9873,21.938620480097235
2010,civil engineering,5868,114,371,6239,5.946465779772399
2010,pharmaceuticals,10005,818,2798,12803,21.854252909474344
2011,civil engineering,5679,105,379,6058,6.2561901617695606
2011,pharmaceuticals,10111,808,2767,12878,21.486255629756172
2012,civil engineering,6175,125,402,6577,6.112209213927322
2012,pharmaceuticals,11416,941,3283,14699,22.33485271106878
2013,civil engineering,7154,155,496,7650,6.483660130718954
2013,pharmaceuticals,12640,1004,3698,16338,22.63434936956788
2014,civil engineering,7905,200,593,8498,6.978112497058131
2014,pharmaceuticals,13590,1089,3964,17554,22.581747749800616
2015,civil engineering,8537,194,631,9168,6.882635253054101
2015,pharmaceuticals,13087,1104,3732,16819,22.18919079612343
2016,civil engineering,9070,203,681,9751,6.9838990872731
2016,pharmaceuticals,13198,1058,3805,17003,22.37840381109216
2017,civil engineering,9490,231,736,10226,7.197340113436339
2017,pharmaceuticals,14012,1108,4105,18117,22.658276756637413
2018,civil engineering,10076,266,773,10849,7.1250806525947095
2018,pharmaceuticals,13477,1073,3913,17390,22.501437607820588
2019,civil engineering,11383,324,913,12296,7.425178919973975
2019,pharmaceuticals,14157,1102,4151,18308,22.673148350447892
2020,civil engineering,11265,299,891,12156,7.329713721618954
2020,pharmaceuticals,14453,1175,4117,18570,22.170166935918147
2021,civil engineering,10724,579,849,11573,7.336040784584809
2021,pharmaceuticals,14702,1192,3883,18585,20.893193435566317
